time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-07-26 05:04,SHORT,487.86,2.047721,,0.00,策略訊號做空
2026-08-02 21:05,COVER,485.42,2.047721,+0.30%,1002.00,漲破EMA50趨勢覆蓋（反轉）
2026-08-03 11:01,SHORT,471.73,2.121984,,0.00,策略訊號做空
2026-08-03 13:47,COVER,481.97,2.121984,-2.37%,977.25,漲破EMA50趨勢覆蓋（反轉）
2026-08-06 12:13,SHORT,494.83,1.972949,,0.00,策略訊號做空
2026-08-07 00:20,COVER,502.60,1.972949,-1.77%,958.98,漲破EMA50趨勢覆蓋（反轉）
2026-08-11 00:03,SHORT,496.44,1.929777,,0.00,策略訊號做空
2026-08-13 08:58,COVER,495.62,1.929777,-0.03%,957.69,漲破EMA50趨勢覆蓋（反轉）
