time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-09-22 05:42,BUY,85402.10,0.011698,,0.00,強制測試買入
2026-09-22 05:48,SELL,85569.60,0.011698,-0.00%,999.96,強制測試賣出
