time,action,price,qty_btc,pnl_pct,capital_after,reason
2026-06-19 21:20,BUY,63268.10,0.015790,,0.00,策略訊號進場
2026-06-19 21:50,SELL,63092.40,0.015790,-0.48%,995.23,MACD信號線死叉賣出
2026-06-19 22:30,BUY,63265.60,0.015715,,0.00,策略訊號進場
2026-06-20 02:30,SELL,63410.30,0.015715,+0.03%,995.51,MACD信號線死叉賣出
2026-06-20 05:00,BUY,63588.70,0.015640,,0.00,策略訊號進場
2026-06-20 08:01,SELL,63653.00,0.015640,-0.10%,994.53,MACD信號線死叉賣出
2026-06-20 10:30,BUY,63679.90,0.015602,,0.00,策略訊號進場
2026-06-20 10:50,SELL,63605.80,0.015602,-0.32%,991.39,MACD信號線死叉賣出
2026-06-20 11:00,BUY,63681.00,0.015552,,0.00,策略訊號進場
2026-06-20 12:50,SELL,63624.90,0.015552,-0.29%,988.53,MACD信號線死叉賣出
2026-06-20 21:46,BUY,64036.70,0.015422,,0.00,策略訊號進場
2026-06-21 05:10,SELL,64283.00,0.015422,+0.18%,990.35,MACD信號線死叉賣出
2026-06-22 06:01,BUY,64249.70,0.015399,,0.00,策略訊號進場
